antecedents,consequents,support,confidence,lift,ant_class,con_class
"RAUDQ6, AKP0A7",TBCCF7,0.004209260372820205,0.39999999999999997,9.469039145907473,mixed,C
"KTDZY0, KUFVRI",1JT1XB,0.006313890559230307,0.3870967741935484,9.466793168880455,mixed,B
1JT1XB,"KTDZY0, KUFVRI",0.006313890559230307,0.15441176470588236,9.466793168880455,B,mixed
"W25EZN, 8D9SAW",O9YFO8,0.004058929645219483,0.23175965665236054,9.458068932831303,mixed,A
O9YFO8,"W25EZN, 8D9SAW",0.004058929645219483,0.16564417177914112,9.458068932831303,A,mixed
"TBCCF7, 7BU1V7",XUZJ74,0.0042844257366205655,0.7808219178082192,9.435108805195775,mixed,C
O9YFO8,"KTDZY0, AKP0A7",0.004134095009019844,0.16871165644171782,9.352249488752557,A,mixed
"KTDZY0, AKP0A7",O9YFO8,0.004134095009019844,0.22916666666666666,9.352249488752555,mixed,A
"8N10W9, 8D9SAW",Q164T6,0.004058929645219483,0.10266159695817491,9.291223713820129,mixed,C
Q164T6,"8N10W9, 8D9SAW",0.004058929645219483,0.36734693877551017,9.291223713820129,C,mixed
"8N10W9, KTDZY0",5P2MVG,0.005336740829825617,0.1577777777777778,9.28794493608653,mixed,A
5P2MVG,"8N10W9, KTDZY0",0.005336740829825617,0.3141592920353983,9.28794493608653,A,mixed
"LXJQVG, 7BU1V7",XUZJ74,0.004209260372820205,0.767123287671233,9.269580580543218,mixed,C
"WRRW1W, 7BU1V7",J3FI7N,0.004058929645219483,0.22978723404255316,9.263907156673113,mixed,A
J3FI7N,"WRRW1W, 7BU1V7",0.004058929645219483,0.16363636363636364,9.263907156673113,A,mixed
5P2MVG,"SMMRK3, KTDZY0",0.004209260372820205,0.24778761061946908,9.234079472496965,A,mixed
"SMMRK3, KTDZY0",5P2MVG,0.004209260372820205,0.1568627450980392,9.234079472496964,mixed,A
RAUDQ6,"KTDZY0, AKP0A7",0.005712567648827421,0.1663019693654267,9.218672501823487,A,mixed
